 Frame    Group-DI   Reconstructed-DI  P3-23  P3-20
       1   0.0115   0.0008  -0.0003   0.0010
       2   0.0178   0.0009  -0.0006   0.0015
       3   0.0201   0.0002  -0.0011   0.0012
       4   0.0204   0.0001  -0.0011   0.0012
       5   0.0177   0.0014  -0.0008   0.0022
       6   0.0109   0.0017  -0.0006   0.0022
       7   0.0170   0.0007  -0.0006   0.0013
       8   0.0188  -0.0003  -0.0008   0.0006
       9   0.0189   0.0004  -0.0009   0.0013
      10   0.0138   0.0005  -0.0008   0.0013
      11   0.0118   0.0007  -0.0006   0.0013
      12   0.0197   0.0010  -0.0008   0.0017
      13   0.0238   0.0005  -0.0006   0.0011
      14   0.0202   0.0017  -0.0007   0.0024
      15   0.0164   0.0015  -0.0010   0.0025
      16   0.0151   0.0021  -0.0005   0.0027
      17   0.0188   0.0025  -0.0006   0.0031
      18   0.0213   0.0010  -0.0004   0.0015
      19   0.0195   0.0009  -0.0009   0.0018
      20   0.0128   0.0018  -0.0006   0.0024
      21   0.0097   0.0027  -0.0005   0.0032
      22   0.0172   0.0034  -0.0009   0.0043
      23   0.0191   0.0026  -0.0009   0.0035
      24   0.0142   0.0020  -0.0004   0.0024
      25   0.0114   0.0038  -0.0005   0.0044
      26   0.0133   0.0056  -0.0004   0.0060
      27   0.0157   0.0067   0.0007   0.0060
      28   0.0191   0.0072   0.0011   0.0060
      29   0.0133   0.0066   0.0006   0.0060
      30   0.0110   0.0083   0.0014   0.0068
      31   0.0151   0.0113   0.0027   0.0086
      32   0.0161   0.0125   0.0032   0.0093
      33   0.0192   0.0135   0.0029   0.0106
      34   0.0181   0.0131   0.0041   0.0090
      35   0.0187   0.0114   0.0040   0.0074
      36   0.0238   0.0138   0.0048   0.0090
      37   0.0247   0.0164   0.0070   0.0094
      38   0.0227   0.0181   0.0084   0.0096
      39   0.0304   0.0253   0.0126   0.0127
      40   0.0343   0.0288   0.0162   0.0126
      41   0.0366   0.0316   0.0176   0.0140
      42   0.0529   0.0474   0.0291   0.0183
      43   0.0391   0.0375   0.0190   0.0185
      44   0.0473   0.0429   0.0241   0.0188
      45   0.0536   0.0489   0.0292   0.0197
      46   0.0388   0.0357   0.0172   0.0185
      47   0.0519   0.0503   0.0267   0.0236
      48   0.0649   0.0627   0.0316   0.0312
      49   0.0695   0.0662   0.0331   0.0331
      50   0.0864   0.0817   0.0470   0.0347
      51   0.0735   0.0707   0.0402   0.0305
      52   0.0768   0.0744   0.0445   0.0299
      53   0.0809   0.0793   0.0431   0.0362
      54   0.0717   0.0693   0.0347   0.0346
      55   0.0857   0.0812   0.0460   0.0352
      56   0.0774   0.0725   0.0412   0.0313
      57   0.0569   0.0550   0.0287   0.0263
      58   0.0670   0.0654   0.0354   0.0300
      59   0.0704   0.0668   0.0331   0.0336
      60   0.0588   0.0559   0.0258   0.0301
      61   0.0531   0.0510   0.0241   0.0268
      62   0.0398   0.0407   0.0212   0.0196
      63   0.0379   0.0401   0.0180   0.0220
      64   0.0469   0.0473   0.0192   0.0281
      65   0.0441   0.0437   0.0175   0.0263
      66   0.0312   0.0321   0.0109   0.0212
      67   0.0243   0.0256   0.0066   0.0190
      68   0.0206   0.0239   0.0050   0.0189
      69   0.0309   0.0327   0.0066   0.0261
      70   0.0344   0.0348   0.0075   0.0273
      71   0.0239   0.0248   0.0057   0.0191
      72   0.0189   0.0197   0.0061   0.0136
      73   0.0208   0.0209   0.0063   0.0146
      74   0.0262   0.0251   0.0069   0.0183
      75   0.0292   0.0277   0.0098   0.0179
      76   0.0189   0.0195   0.0072   0.0123
      77   0.0147   0.0151   0.0046   0.0105
      78   0.0169   0.0177   0.0061   0.0117
      79   0.0182   0.0186   0.0057   0.0130
      80   0.0170   0.0168   0.0047   0.0121
      81   0.0141   0.0148   0.0042   0.0106
      82   0.0123   0.0120   0.0032   0.0088
      83   0.0120   0.0128   0.0036   0.0092
      84   0.0143   0.0148   0.0044   0.0104
      85   0.0144   0.0146   0.0035   0.0111
      86   0.0120   0.0118   0.0027   0.0091
      87   0.0111   0.0106   0.0019   0.0086
      88   0.0125   0.0114   0.0014   0.0100
      89   0.0141   0.0128   0.0015   0.0113
      90   0.0125   0.0114   0.0011   0.0103
      91   0.0108   0.0093   0.0005   0.0088
      92   0.0100   0.0086   0.0007   0.0079
      93   0.0107   0.0087   0.0010   0.0077
      94   0.0112   0.0092   0.0013   0.0079
      95   0.0117   0.0096   0.0009   0.0086
      96   0.0094   0.0076   0.0006   0.0071
      97   0.0075   0.0065   0.0004   0.0061
      98   0.0096   0.0078   0.0004   0.0073
      99   0.0096   0.0081   0.0007   0.0073
     100   0.0084   0.0069   0.0012   0.0057
     101   0.0066   0.0058   0.0011   0.0047
